,Title,Score,Searching,VOD이용건수,해외영화제수상,국내영화제수상,관객수
281,피터팬,9.14,31700,0,0,0,43520
282,도망자,9.14,13600,0,1,0,0
283,아름다운 세상을 위하여,9.14,3020,0,0,0,77872
284,빅뱅 메이드,9.14,670,0,0,0,24994
285,와이키키 브라더스,9.14,4810,0,0,0,88214
286,가디언즈,9.14,10290,0,0,0,283476
287,스타워즈 에피소드 5 - 제국의 역습,9.14,30,0,1,0,0
288,타샤 튜더,9.14,17020,0,0,0,24576
289,설리: 허드슨강의 기적,9.14,4230,17482,0,0,192870
290,범죄도시,9.14,335500,376299,0,0,1670254
291,하치 이야기,9.14,15130,0,0,0,4917
292,그래도 내가 하지 않았어,9.14,2160,0,0,0,0
293,공범자들,9.14,3120,8961,0,0,92054
294,즐거운 인생,9.14,3530,0,0,0,442665
295,귀를 기울이면,9.14,13680,0,0,0,6430
296,스텝 업 3D,9.14,140,0,0,0,214074
297,어메이징 메리,9.13,7930,3672,0,0,18198
298,아버지의 이름으로,9.13,1150,0,1,0,50114
299,블러드 다이아몬드,9.13,4760,0,0,0,211647
300,나는 고양이로소이다,9.13,5350,0,0,0,3716
301,국가대표,9.13,27580,0,0,0,2213346
302,미션 임파서블: 폴아웃,9.13,71400,0,0,0,1686266
303,파워 오브 원,9.13,640,0,0,0,149544
304,클릭,9.13,12800,0,0,0,142253
305,아는 여자,9.13,5600,0,0,0,390000
306,우드잡,9.13,2110,0,0,0,0
307,타짜,9.13,197600,0,0,0,2091058
308,패치 아담스,9.13,4520,0,0,0,83563
309,뱀파이어와의 인터뷰,9.13,4920,0,0,0,354718
310,오직 그대만,9.13,61100,0,0,0,271148
311,철가방 우수氏,9.12,280,0,0,0,39370
312,피아니스트 세이모어의 뉴욕 소네트,9.12,950,0,0,0,18957
313,7인의 사무라이,9.12,2090,0,0,0,0
314,명탐정 코난 : 제로의 집행인,9.12,22180,23212,0,0,88325
315,겨울왕국,9.12,56800,35599,0,0,3003446
316,댄서,9.12,4020,0,0,0,32076
317,바울,9.12,154000,0,0,0,0
318,스트레인저 - 무황인담,9.12,7730,0,0,0,0
319,웨딩 드레스,9.12,66400,0,0,0,29532
320,에이리언,9.12,3990,0,0,0,0
